,id,word,synonyms,example
0,1319,imagine,,
1,55,affect,,
2,4793,textbook,,
3,3791,gene,,
4,436,cheese,,
5,3308,compile,,
6,2389,signal,,
7,4214,obesity,,
8,1845,pack,,
9,3664,evident,,
10,4852,tremendous,,
11,4281,passive,,
12,4889,uphold,,
13,4726,sufficiently,,
14,3111,assure,,
15,4139,minimal,,
16,1117,frozen,,
17,3617,emission,,
18,2516,statistic,,
19,4077,magnificent,,
20,363,cable,,
21,1741,noisy,,
22,198,august,,
23,340,broken,,
24,1905,personal,,
25,1307,identify,,
26,4422,racism,,
27,3320,comprise,,
28,936,examine,,
29,4787,terror,,
30,537,conclude,,
31,3241,characterize,,
32,152,area,,
33,1121,full,,
34,1941,plastic,,
35,3362,constraint,,
36,187,atmosphere,,
37,3574,dramatically,,
38,849,elderly,,
39,2250,row,,
40,2013,president,,
41,3957,integral,,
42,1920,phrase,,
43,716,desire,,
44,4675,stabilize,,
45,4429,rail,,
46,1710,neat,,
47,3623,encompass,,
48,2726,town,,
49,3369,contend,,
50,4639,sound,,
51,4006,kidnap,,
52,2633,technique,,
53,4588,settler,,
54,4377,productive,,
55,1796,one,,
56,3319,comprehensive,,
57,3643,entitle,,
58,2589,surgery,,
59,597,cottage,,
60,3759,forum,,
61,1389,intense,,
62,744,digital,,
63,311,borrow,,
64,3898,inadequate,,
65,2420,skill,,
66,209,awful,,
67,3003,accumulate,,
68,4837,trailer,,
69,2654,the,,
70,2063,prospect,,
71,917,euro,,
72,4695,strategic,,
73,2750,trip,,
74,769,dismiss,,
75,3120,auction,,
76,3275,cocktail,,
77,4840,transcript,,
78,2852,visitor,,
79,2873,waste,,
80,377,candidate,,
81,4627,so-called,,
82,4973,yield,,
83,3446,dare,,
84,615,cream,,
85,2517,statue,,
86,679,decorate,,
87,3223,carve,,
88,4591,sexy,,
89,2763,tunnel,,
90,2972,young,,
91,4925,vocal,,
92,2908,which,,
93,1565,luxury,,
94,2693,tight,,
95,1245,here,,
96,3601,elbow,,
97,3169,biological,,
98,2831,various,,
99,3697,exposure,,
100,3246,cheek,,
101,75,aim,,
102,4271,parental,,
103,4575,segment,,
104,3235,certainty,,
105,2645,tent,,
106,3322,compulsory,,
107,4660,spine,,
